year,biasmo1,hate_crimes,merge_year,YEAR,Population,hate_crimes_per_100000
2001,21,1044,2000,2000,281421906,0.3709732532335276
2001,22,38,2000,2000,281421906,0.013502857876316138
2001,23,35,2000,2000,281421906,0.012436842780817498
2001,24,481,2000,2000,281421906,0.17091775364494902
2001,25,181,2000,2000,281421906,0.06431624409508477
2001,26,46,2000,2000,281421906,0.016345564797645852
2001,27,5,2000,2000,281421906,0.0017766918258310708
2001,32,597,2000,2000,281421906,0.21213700400422986
2001,33,1501,2000,2000,281421906,0.5333628861144875
2001,41,980,2000,2000,281421906,0.3482315978628899
2001,42,205,2000,2000,281421906,0.0728443648590739
2001,43,174,2000,2000,281421906,0.06182887553892127
2001,44,18,2000,2000,281421906,0.0063960905729918555
2001,45,17,2000,2000,281421906,0.006040752207825641
2001,51,12,2000,2000,281421906,0.00426406038199457
2001,52,23,2000,2000,281421906,0.008172782398822926
2002,11,719,2000,2000,281421906,0.255488284554508
2002,12,2487,2000,2000,281421906,0.8837265141683747
2002,13,62,2000,2000,281421906,0.022030978640305277
2002,14,217,2000,2000,281421906,0.07710842524106848
2002,15,158,2000,2000,281421906,0.05614346169626184
2002,21,931,2000,2000,281421906,0.3308200179697454
2002,22,53,2000,2000,281421906,0.018832933353809353
2002,23,55,2000,2000,281421906,0.01954361008414178
2002,24,155,2000,2000,281421906,0.0550774466007632
2002,25,198,2000,2000,281421906,0.07035699630291041
2002,26,31,2000,2000,281421906,0.011015489320152639
2002,27,3,2000,2000,281421906,0.0010660150954986424
2002,32,481,2000,2000,281421906,0.17091775364494902
2002,33,622,2000,2000,281421906,0.22102046313338522
2002,41,825,2000,2000,281421906,0.2931541512621267
2002,42,172,2000,2000,281421906,0.06111819880858883
2002,43,223,2000,2000,281421906,0.07924045543206576
2002,44,10,2000,2000,281421906,0.0035533836516621416
2002,45,15,2000,2000,281421906,0.005330075477493213
2002,51,20,2000,2000,281421906,0.007106767303324283
2002,52,25,2000,2000,281421906,0.008883459129155355
2003,11,830,2000,2000,281421906,0.2949308430879578
2003,12,2550,2000,2000,281421906,0.9061128311738462
2003,13,77,2000,2000,281421906,0.02736105411779849
2003,14,231,2000,2000,281421906,0.08208316235339547
2003,15,159,2000,2000,281421906,0.05649880006142805
2003,21,927,2000,2000,281421906,0.32939866450908056
2003,22,76,2000,2000,281421906,0.027005715752632276
2003,23,49,2000,2000,281421906,0.017411579893144496
2003,24,150,2000,2000,281421906,0.053300754774932124
2003,25,109,2000,2000,281421906,0.038731881803117346
2003,26,24,2000,2000,281421906,0.00852812076398914
2003,27,9,2000,2000,281421906,0.0031980452864959277
2003,32,426,2000,2000,281421906,0.15137414356080722
2003,33,600,2000,2000,281421906,0.2132030190997285
2003,41,783,2000,2000,281421906,0.2782299399251457
2003,42,187,2000,2000,281421906,0.06644827428608205
2003,43,247,2000,2000,281421906,0.0877685761960549
2003,44,14,2000,2000,281421906,0.004974737112326998
2003,45,8,2000,2000,281421906,0.0028427069213297134
2003,51,24,2000,2000,281421906,0.00852812076398914
2003,52,9,2000,2000,281421906,0.0031980452864959277
2004,11,830,2000,2000,281421906,0.2949308430879578
2004,12,2735,2000,2000,281421906,0.9718504287295957
2004,13,83,2000,2000,281421906,0.029493084308795776
2004,14,218,2000,2000,281421906,0.07746376360623469
2004,15,182,2000,2000,281421906,0.06467158246025098
2004,21,954,2000,2000,281421906,0.3389928003685683
2004,22,57,2000,2000,281421906,0.02025428681447421
2004,23,38,2000,2000,281421906,0.013502857876316138
2004,24,156,2000,2000,281421906,0.055432784965929405
2004,25,128,2000,2000,281421906,0.045483310741275415
2004,26,35,2000,2000,281421906,0.012436842780817498
2004,27,6,2000,2000,281421906,0.002132030190997285
2004,32,475,2000,2000,281421906,0.16878572345395174
2004,33,497,2000,2000,281421906,0.17660316748760846
2004,41,739,2000,2000,281421906,0.2625950518578323
2004,42,164,2000,2000,281421906,0.05827549188725912
2004,43,245,2000,2000,281421906,0.08705789946572247
2004,44,33,2000,2000,281421906,0.011726166050485067
2004,45,17,2000,2000,281421906,0.006040752207825641
2004,51,23,2000,2000,281421906,0.008172782398822926
2004,52,34,2000,2000,281421906,0.012081504415651282
2005,11,828,2000,2000,281421906,0.2942201663576253
2005,12,2631,2000,2000,281421906,0.9348952387523094
2005,13,79,2000,2000,281421906,0.02807173084813092
2005,14,199,2000,2000,281421906,0.07071233466807661
2005,15,183,2000,2000,281421906,0.0650269208254172
2005,21,849,2000,2000,281421906,0.30168227202611586
2005,22,58,2000,2000,281421906,0.020609625179640424
2005,23,57,2000,2000,281421906,0.02025428681447421
2005,24,128,2000,2000,281421906,0.045483310741275415
2005,25,93,2000,2000,281421906,0.03304646796045792
2005,26,39,2000,2000,281421906,0.013858196241482351
2005,27,4,2000,2000,281421906,0.0014213534606648567
2005,32,522,2000,2000,281421906,0.1854866266167638
2005,33,422,2000,2000,281421906,0.14995279010014237
2005,41,622,2000,2000,281421906,0.22102046313338522
2005,42,155,2000,2000,281421906,0.0550774466007632
2005,43,195,2000,2000,281421906,0.06929098120741177
2005,44,21,2000,2000,281421906,0.0074621056684904975
2005,45,25,2000,2000,281421906,0.008883459129155355
2005,51,21,2000,2000,281421906,0.0074621056684904975
2005,52,32,2000,2000,281421906,0.011370827685318854
2006,11,891,2000,2000,281421906,0.3166064833630968
2006,12,2641,2000,2000,281421906,0.9384486224039716
2006,13,60,2000,2000,281421906,0.02132030190997285
2006,14,183,2000,2000,281421906,0.0650269208254172
2006,15,229,2000,2000,281421906,0.08137248562306304
2006,21,968,2000,2000,281421906,0.34396753748089537
2006,22,76,2000,2000,281421906,0.027005715752632276
2006,23,59,2000,2000,281421906,0.020964963544806637
2006,24,156,2000,2000,281421906,0.055432784965929405
2006,25,124,2000,2000,281421906,0.044061957280610554
2006,26,74,2000,2000,281421906,0.026295039022299845
2006,27,7,2000,2000,281421906,0.002487368556163499
2006,32,576,2000,2000,281421906,0.20467489833573937
2006,33,408,2000,2000,281421906,0.14497805298781538
2006,41,747,2000,2000,281421906,0.265437758779162
2006,42,163,2000,2000,281421906,0.05792015352209291
2006,43,238,2000,2000,281421906,0.08457053090955897
2006,44,26,2000,2000,281421906,0.009238797494321568
2006,45,21,2000,2000,281421906,0.0074621056684904975
2006,51,17,2000,2000,281421906,0.006040752207825641
2006,52,62,2000,2000,281421906,0.022030978640305277
2007,11,750,2000,2000,281421906,0.2665037738746606
2007,12,2659,2000,2000,281421906,0.9448447129769635
2007,13,61,2000,2000,281421906,0.021675640275139067
2007,14,188,2000,2000,281421906,0.06680361265124826
2007,15,214,2000,2000,281421906,0.07604241014556984
2007,21,970,2000,2000,281421906,0.34467821421122774
2007,22,61,2000,2000,281421906,0.021675640275139067
2007,23,57,2000,2000,281421906,0.02025428681447421
2007,24,115,2000,2000,281421906,0.040863911994114634
2007,25,130,2000,2000,281421906,0.04619398747160784
2007,26,62,2000,2000,281421906,0.022030978640305277
2007,27,6,2000,2000,281421906,0.002132030190997285
2007,32,595,2000,2000,281421906,0.21142632727389743
2007,33,412,2000,2000,281421906,0.14639940644848023
2007,41,772,2000,2000,281421906,0.27432121790831737
2007,42,145,2000,2000,281421906,0.05152406294910106
2007,43,304,2000,2000,281421906,0.1080228630105291
2007,44,22,2000,2000,281421906,0.007817444033656711
2007,45,22,2000,2000,281421906,0.007817444033656711
2007,51,20,2000,2000,281421906,0.007106767303324283
2007,52,59,2000,2000,281421906,0.020964963544806637
2008,11,717,2000,2000,281421906,0.2547776078241756
2008,12,2877,2000,2000,281421906,1.0223084765831982
2008,13,54,2000,2000,281421906,0.019188271718975566
2008,14,137,2000,2000,281421906,0.04868135602777134
2008,15,209,2000,2000,281421906,0.07426571831973876
2008,21,1013,2000,2000,281421906,0.359957763913375
2008,22,75,2000,2000,281421906,0.026650377387466062
2008,23,56,2000,2000,281421906,0.019898948449307993
2008,24,105,2000,2000,281421906,0.03731052834245249
2008,25,191,2000,2000,281421906,0.06786962774674692
2008,26,65,2000,2000,281421906,0.02309699373580392
2008,27,14,2000,2000,281421906,0.004974737112326998
2008,32,561,2000,2000,281421906,0.19934482285824617
2008,33,333,2000,2000,281421906,0.11832767560034933
2008,41,776,2000,2000,281421906,0.2757425713689822
2008,42,154,2000,2000,281421906,0.05472210823559698
2008,43,308,2000,2000,281421906,0.10944421647119396
2008,44,33,2000,2000,281421906,0.011726166050485067
2008,45,27,2000,2000,281421906,0.009594135859487783
2008,51,22,2000,2000,281421906,0.007817444033656711
2008,52,56,2000,2000,281421906,0.019898948449307993
2009,11,539,2000,2000,281421906,0.19152737882458945
2009,12,2297,2000,2000,281421906,0.816212224786794
2009,13,68,2000,2000,281421906,0.024163008831302565
2009,14,128,2000,2000,281421906,0.045483310741275415
2009,15,180,2000,2000,281421906,0.06396090572991855
2009,21,932,2000,2000,281421906,0.33117535633491163
2009,22,52,2000,2000,281421906,0.018477594988643136
2009,23,38,2000,2000,281421906,0.013502857876316138
2009,24,107,2000,2000,281421906,0.03802120507278492
2009,25,111,2000,2000,281421906,0.03944255853344977
2009,26,48,2000,2000,281421906,0.01705624152797828
2009,27,10,2000,2000,281421906,0.0035533836516621416
2009,32,486,2000,2000,281421906,0.17269444547078008
2009,33,294,2000,2000,281421906,0.10446947935886697
2009,41,687,2000,2000,281421906,0.24411745686918912
2009,42,186,2000,2000,281421906,0.06609293592091584
2009,43,310,2000,2000,281421906,0.1101548932015264
2009,44,21,2000,2000,281421906,0.0074621056684904975
2009,45,24,2000,2000,281421906,0.00852812076398914
2009,51,24,2000,2000,281421906,0.00852812076398914
2009,52,70,2000,2000,281421906,0.024873685561634995
2010,11,575,2010,2010,309349689,0.18587379281315522
2010,12,2201,2010,2010,309349689,0.7114925530117472
2010,13,44,2010,2010,309349689,0.014223385884832747
2010,14,151,2010,2010,309349689,0.04881207428658511
2010,15,165,2010,2010,309349689,0.0533376970681228
2010,21,887,2010,2010,309349689,0.2867305290874238
2010,22,58,2010,2010,309349689,0.01874900866637044
2010,23,41,2010,2010,309349689,0.013253609574503241
2010,24,160,2010,2010,309349689,0.051721403217573625
2010,25,124,2010,2010,309349689,0.04008408749361956
2010,26,48,2010,2010,309349689,0.015516420965272087
2010,27,5,2010,2010,309349689,0.0016162938505491758
2010,32,534,2010,2010,309349689,0.17262018323865197
2010,33,314,2010,2010,309349689,0.10150325381448823
2010,41,740,2010,2010,309349689,0.23921148988127802
2010,42,144,2010,2010,309349689,0.04654926289581626
2010,43,347,2010,2010,309349689,0.11217079322811278
2010,44,21,2010,2010,309349689,0.006788434172306538
2010,45,26,2010,2010,309349689,0.008404728022855714
2010,51,19,2010,2010,309349689,0.006141916632086868
2010,52,24,2010,2010,309349689,0.007758210482636044
2011,11,504,2010,2010,309349689,0.1629224201353569
2011,12,2076,2010,2010,309349689,0.6710852067480177
2011,13,61,2010,2010,309349689,0.019718784976699943
2011,14,138,2010,2010,309349689,0.044609710275157255
2011,15,138,2010,2010,309349689,0.044609710275157255
2011,21,772,2010,2010,309349689,0.24955577052479275
2011,22,67,2010,2010,309349689,0.021658337597358957
2011,23,44,2010,2010,309349689,0.014223385884832747
2011,24,157,2010,2010,309349689,0.050751626907244114
2011,25,130,2010,2010,309349689,0.04202364011427857
2011,26,60,2010,2010,309349689,0.01939552620659011
2011,27,4,2010,2010,309349689,0.0012930350804393406
2011,32,405,2010,2010,309349689,0.13091980189448324
2011,33,316,2010,2010,309349689,0.1021497713547079
2011,41,762,2010,2010,309349689,0.24632318282369436
2011,42,137,2010,2010,309349689,0.04428645150504742
2011,43,360,2010,2010,309349689,0.11637315723954066
2011,44,16,2010,2010,309349689,0.0051721403217573625
2011,45,22,2010,2010,309349689,0.007111692942416373
2011,51,19,2010,2010,309349689,0.006141916632086868
2011,52,34,2010,2010,309349689,0.010990798183734395
2012,11,686,2010,2010,309349689,0.22175551629534693
2012,12,2060,2010,2010,309349689,0.6659130664262605
2012,13,105,2010,2010,309349689,0.03394217086153269
2012,14,144,2010,2010,309349689,0.04654926289581626
2012,15,123,2010,2010,309349689,0.03976082872350972
2012,21,868,2010,2010,309349689,0.2805886124553369
2012,22,75,2010,2010,309349689,0.024244407758237635
2012,23,38,2010,2010,309349689,0.012283833264173736
2012,24,148,2010,2010,309349689,0.047842297976255596
2012,25,101,2010,2010,309349689,0.03264913578109335
2012,26,76,2010,2010,309349689,0.024567666528347472
2012,27,13,2010,2010,309349689,0.004202364011427857
2012,32,429,2010,2010,309349689,0.13867801237711927
2012,33,312,2010,2010,309349689,0.10085673627426857
2012,41,727,2010,2010,309349689,0.23500912586985015
2012,42,171,2010,2010,309349689,0.05527724968878181
2012,43,337,2010,2010,309349689,0.10893820552701446
2012,44,26,2010,2010,309349689,0.008404728022855714
2012,45,38,2010,2010,309349689,0.012283833264173736
2012,51,21,2010,2010,309349689,0.006788434172306538
2012,52,89,2010,2010,309349689,0.028770030539775327
2012,62,2,2010,2010,309349689,6.465175402196703e-4
2012,72,4,2010,2010,309349689,0.0012930350804393406
2013,11,650,2010,2010,309349689,0.21011820057139285
2013,12,1853,2010,2010,309349689,0.5989985010135246
2013,13,129,2010,2010,309349689,0.04170038134416874
2013,14,135,2010,2010,309349689,0.043639933964827744
2013,15,95,2010,2010,309349689,0.03070958316043434
2013,16,3,2010,2010,309349689,9.697763103295055e-4
2013,21,625,2010,2010,309349689,0.20203673131864697
2013,22,69,2010,2010,309349689,0.022304855137578627
2013,23,34,2010,2010,309349689,0.010990798183734395
2013,24,136,2010,2010,309349689,0.04396319273493758
2013,25,117,2010,2010,309349689,0.03782127610285071
2013,26,41,2010,2010,309349689,0.013253609574503241
2013,27,7,2010,2010,309349689,0.002262811390768846
2013,32,328,2010,2010,309349689,0.10602887659602593
2013,33,324,2010,2010,309349689,0.10473584151558658
2013,41,753,2010,2010,309349689,0.2434138538927059
2013,42,159,2010,2010,309349689,0.05139814444746379
2013,43,277,2010,2010,309349689,0.08954267932042434
2013,44,21,2010,2010,309349689,0.006788434172306538
2013,45,26,2010,2010,309349689,0.008404728022855714
2013,51,22,2010,2010,309349689,0.007111692942416373
2013,52,61,2010,2010,309349689,0.019718784976699943
2013,61,5,2010,2010,309349689,0.0016162938505491758
2013,62,13,2010,2010,309349689,0.004202364011427857
2013,71,23,2010,2010,309349689,0.007434951712526209
2013,72,8,2010,2010,309349689,0.0025860701608786812
2014,11,595,2010,2010,309349689,0.19233896821535193
2014,12,1630,2010,2010,309349689,0.5269117952790313
2014,13,130,2010,2010,309349689,0.04202364011427857
2014,14,140,2010,2010,309349689,0.04525622781537692
2014,15,82,2010,2010,309349689,0.026507219149006483
2014,16,3,2010,2010,309349689,9.697763103295055e-4
2014,21,609,2010,2010,309349689,0.1968645909968896
2014,22,64,2010,2010,309349689,0.02068856128702945
2014,23,25,2010,2010,309349689,0.008081469252745879
2014,24,154,2010,2010,309349689,0.04978185059691461
2014,25,108,2010,2010,309349689,0.0349119471718622
2014,26,46,2010,2010,309349689,0.014869903425052417
2014,27,11,2010,2010,309349689,0.0035558464712081867
2014,32,305,2010,2010,309349689,0.09859392488349973
2014,33,343,2010,2010,309349689,0.11087775814767346
2014,41,600,2010,2010,309349689,0.19395526206590108
2014,42,129,2010,2010,309349689,0.04170038134416874
2014,43,241,2010,2010,309349689,0.07790536359647027
2014,44,18,2010,2010,309349689,0.005818657861977033
2014,45,30,2010,2010,309349689,0.009697763103295055
2014,51,24,2010,2010,309349689,0.007758210482636044
2014,52,61,2010,2010,309349689,0.019718784976699943
2014,61,10,2010,2010,309349689,0.0032325877010983516
2014,62,23,2010,2010,309349689,0.007434951712526209
2014,71,58,2010,2010,309349689,0.01874900866637044
2014,72,40,2010,2010,309349689,0.012930350804393406
2015,11,613,2010,2010,309349689,0.19815762607732895
2015,12,1760,2010,2010,309349689,0.5689354353933098
2015,13,131,2010,2010,309349689,0.042346898884388404
2015,14,114,2010,2010,309349689,0.036851499792521204
2015,15,113,2010,2010,309349689,0.03652824102241137
2015,16,4,2010,2010,309349689,0.0012930350804393406
2015,21,666,2010,2010,309349689,0.21529034089315022
2015,22,53,2010,2010,309349689,0.017132714815821265
2015,23,37,2010,2010,309349689,0.011960574494063899
2015,24,258,2010,2010,309349689,0.08340076268833747
2015,25,96,2010,2010,309349689,0.031032841930544175
2015,26,51,2010,2010,309349689,0.016486197275601595
2015,27,3,2010,2010,309349689,9.697763103295055e-4
2015,28,8,2010,2010,309349689,0.0025860701608786812
2015,29,1,2010,2010,309349689,3.2325877010983516e-4
2015,31,39,2010,2010,309349689,0.012607092034283571
2015,32,299,2010,2010,309349689,0.09665437226284071
2015,33,257,2010,2010,309349689,0.08307750391822763
2015,41,668,2010,2010,309349689,0.21593685843336988
2015,42,137,2010,2010,309349689,0.04428645150504742
2015,43,204,2010,2010,309349689,0.06594478910240638
2015,44,19,2010,2010,309349689,0.006141916632086868
2015,45,31,2010,2010,309349689,0.01002102187340489
2015,51,44,2010,2010,309349689,0.014223385884832747
2015,52,31,2010,2010,309349689,0.01002102187340489
2015,61,7,2010,2010,309349689,0.002262811390768846
2015,62,17,2010,2010,309349689,0.005495399091867198
2015,71,73,2010,2010,309349689,0.023597890218017968
2015,72,41,2010,2010,309349689,0.013253609574503241
2015,81,48,2010,2010,309349689,0.015516420965272087
2015,82,15,2010,2010,309349689,0.004848881551647527
